Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6, C7",0603,5,0.1μ,
C3,0603,1,10μF,
C4,0603,1,22μF,
C8,0603,1,100μF,
D1,D_SOD-323F,1,CUHS20F30,
D2,0603,1,LED,
J1,NELTRON_5077CR-16SMC2-BK-TR,1,5077CR-16SMC2-BK-TR,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,B2B-XH-A_LF__SN_,B2B-XH-A(LF)(SN)
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,DM3AT-SF-PEJM5,
J4,7810-8P8C,1,RJ45,
J5,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,1,B4B-XH-A_LF__SN_,B4B-XH-A(LF)(SN)
"Q1, Q2",SC-59_Handsoldering,2,2SC2712-GR,
"R1, R2",0603,2,5.1k,
R10,0603,1,4.7k or 5.1k,
R3,0603,1,1k,
"R4, R5, R6, R8, R9",0603,5,10k,
R7,0603,1,120,
"SW1, SW2",TVAF06-A020B-R,2,SW_Push,
U1,ESSOP-10_CH224K,1,CH340K,
U2,TO-252-2,1,NJM2845DL1-33,
U3,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
U4,DIP-8_W7.62mm_LongPads,1,MCP2561-E-P,
U5,DIP-6_W7.62mm,1,akizuki-BMX055,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1307ZN+,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,ADT7410,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,32.768kHz,
button_BAT1,BAT_CH291-1220LF,1,3.3v,
