Designator,Mid X,Mid Y,Rotation,Layer
C1,167.881,-93.98,0.0,top
C2,164.579,-93.98,0.0,top
C3,159.512,-87.363,90.0,top
C4,172.212,-87.389,90.0,top
C5,180.34,-78.727,270.0,top
C6,202.184,-94.615,180.0,top
C7,159.512,-113.805,90.0,top
C8,214.871,-94.615,0.0,top
D1,162.56,-106.68,180.0,top
D2,152.908,-82.437,270.0,top
J1,156.08,-98.27,270.0,top
J2,228.6,-101.6,90.0,top
J3,212.415,-83.575,180.0,top
J4,187.198,-115.578,0.0,top
J5,228.6,-88.9,90.0,top
Q1,173.864,-77.978,0.0,top
Q2,173.864,-83.058,0.0,top
R1,160.3775,-91.186,0.0,top
R10,178.9195,-104.14,0.0,top
R2,164.6155,-91.186,0.0,top
R3,157.48,-82.5265,270.0,top
R4,171.4265,-101.346,0.0,top
R5,171.4265,-97.028,0.0,top
R6,180.467,-83.4625,270.0,top
R7,176.276,-113.8955,270.0,top
R8,204.089,-102.9735,90.0,top
R9,199.263,-102.9735,90.0,top
SW1,154.178,-88.58,180.0,top
SW2,153.786,-108.331,0.0,top
U1,165.64,-98.75,90.0,top
U2,165.36,-82.59,90.0,top
U3,192.405,-78.94,0.0,top
U4,167.655,-114.29,0.0,top
U5,190.5,-100.711,90.0,top
U6,201.549,-117.667,180.0,top
U7,213.106,-99.695,0.0,top
Y1,201.858,-109.22,0.0,top
button_BAT1,215.437,-113.538,0.0,top
